Date,Open,High,Low,Close,Volume
2019-09-20 14:55:00,1.10059,1.10105,1.10207,1.10057,5342
2019-09-20 15:00:00,1.10105,1.10036,1.10106,1.10036,3674
2019-09-20 15:05:00,1.10036,1.10097,1.10113,1.10031,1986
2019-09-20 15:10:00,1.10097,1.10121,1.10168,1.10086,2279
2019-09-20 15:15:00,1.10121,1.1009,1.10136,1.10072,1453
2019-09-20 15:20:00,1.1009,1.10047,1.10106,1.10047,1301
2019-09-20 15:25:00,1.10047,1.10013,1.10049,1.09999,1401
2019-09-20 15:30:00,1.10013,1.1,1.10028,1.09989,1363
2019-09-20 15:35:00,1.1,1.10013,1.1003,1.10001,1451
2019-09-20 15:40:00,1.10013,1.09977,1.10018,1.09958,1665
2019-09-20 15:45:00,1.09977,1.10014,1.10018,1.09976,1200
2019-09-20 15:50:00,1.10014,1.10026,1.10037,1.10002,940
2019-09-20 15:55:00,1.10026,1.10021,1.1003,1.09999,696
2019-09-20 16:00:00,1.10021,1.10022,1.10037,1.10007,773
2019-09-20 16:05:00,1.10022,1.10037,1.10038,1.10015,399
2019-09-20 16:10:00,1.10037,1.10024,1.10041,1.10021,674
2019-09-20 16:15:00,1.10024,1.10037,1.10041,1.10017,574
2019-09-20 16:20:00,1.10037,1.10068,1.10085,1.10034,676
2019-09-20 16:25:00,1.10068,1.1008,1.10082,1.10063,630
2019-09-20 16:30:00,1.1008,1.10061,1.1008,1.10053,558
2019-09-20 16:35:00,1.10061,1.10079,1.1008,1.10061,404
2019-09-20 16:40:00,1.10079,1.10093,1.10097,1.10078,354
2019-09-20 16:45:00,1.10093,1.10091,1.10103,1.10087,372
2019-09-20 16:50:00,1.10091,1.10077,1.10097,1.1007,438
2019-09-20 16:55:00,1.10077,1.10067,1.10081,1.10056,696
2019-09-20 17:00:00,1.10067,1.10057,1.10072,1.10051,741
2019-09-20 17:05:00,1.10057,1.10083,1.10087,1.10056,427
2019-09-20 17:10:00,1.10083,1.10101,1.10109,1.10072,1719
2019-09-20 17:15:00,1.10101,1.10086,1.10166,1.10079,3516
2019-09-20 17:20:00,1.10086,1.10101,1.10137,1.10084,2030
2019-09-20 17:25:00,1.10101,1.10132,1.1014,1.10102,1673
2019-09-20 17:30:00,1.10132,1.10119,1.10161,1.10117,1098
2019-09-20 17:35:00,1.10119,1.10142,1.10153,1.10117,804
2019-09-20 17:40:00,1.10142,1.10142,1.10163,1.10126,1087
2019-09-20 17:45:00,1.10142,1.10176,1.10189,1.10137,1244
2019-09-20 17:50:00,1.10176,1.10171,1.10191,1.10156,1098
2019-09-20 17:55:00,1.10171,1.10182,1.10187,1.10169,922
2019-09-20 18:00:00,1.10182,1.10167,1.10192,1.10155,997
2019-09-20 18:05:00,1.10167,1.10119,1.10173,1.10117,1154
2019-09-20 18:10:00,1.10119,1.10111,1.10126,1.10104,945
2019-09-20 18:15:00,1.10111,1.10171,1.10171,1.10108,995
2019-09-20 18:20:00,1.10171,1.1015,1.10175,1.10145,863
2019-09-20 18:25:00,1.1015,1.10114,1.10154,1.10108,725
2019-09-20 18:30:00,1.10114,1.101,1.10116,1.10093,668
2019-09-20 18:35:00,1.101,1.10123,1.10128,1.10099,586
2019-09-20 18:40:00,1.10123,1.10125,1.10134,1.10115,596
2019-09-20 18:45:00,1.10125,1.10128,1.10134,1.10118,434
2019-09-20 18:50:00,1.10128,1.10123,1.10142,1.1012,618
2019-09-20 18:55:00,1.10123,1.10142,1.10161,1.10121,927
2019-09-20 19:00:00,1.10142,1.10133,1.1015,1.1012,1144
2019-09-20 19:05:00,1.10133,1.10158,1.10159,1.10129,646
2019-09-20 19:10:00,1.10158,1.10161,1.10164,1.10152,394
2019-09-20 19:15:00,1.10161,1.10169,1.10173,1.10158,428
2019-09-20 19:20:00,1.10169,1.1017,1.10173,1.10161,440
2019-09-20 19:25:00,1.1017,1.10172,1.10182,1.10169,532
2019-09-20 19:30:00,1.10172,1.10178,1.10182,1.10172,471
2019-09-20 19:35:00,1.10178,1.10168,1.10184,1.10166,658
2019-09-20 19:40:00,1.10168,1.10175,1.10182,1.10162,675
2019-09-20 19:45:00,1.10175,1.10204,1.10213,1.10175,830
2019-09-20 19:50:00,1.10204,1.10193,1.10208,1.1019,670
2019-09-20 19:55:00,1.10193,1.10185,1.10196,1.10165,611
2019-09-20 20:00:00,1.10185,1.10179,1.10185,1.10165,461
2019-09-20 20:05:00,1.10179,1.1019,1.1019,1.10178,288
2019-09-20 20:10:00,1.1019,1.10201,1.1021,1.10191,302
2019-09-20 20:15:00,1.10201,1.10201,1.1021,1.102,178
2019-09-20 20:20:00,1.10201,1.10196,1.10203,1.10196,105
2019-09-20 20:25:00,1.10196,1.10199,1.10199,1.10186,234
2019-09-20 20:30:00,1.10199,1.10191,1.102,1.10189,393
2019-09-20 20:35:00,1.10191,1.1019,1.10195,1.10186,263
2019-09-20 20:40:00,1.1019,1.10178,1.10193,1.10173,300
2019-09-20 20:45:00,1.10178,1.10163,1.10178,1.10139,390
2019-09-20 20:50:00,1.10163,1.10186,1.10192,1.1016,290
2019-09-20 20:55:00,1.10186,1.10165,1.10195,1.10163,180
2019-09-22 19:05:00,1.10165,1.10161,1.10161,1.1014,17
2019-09-22 19:10:00,1.10161,1.10167,1.1017,1.1016,12
